i  j  k  y
1  1  1  26.97
1  1  2  26.12
1  1  3  27.83
1  1  4  27.47
1  2  1  22.60
1  2  2  22.91
1  2  3  19.83
1  2  4  21.63
1  3  1  30.71
1  3  2  29.53
1  3  3  27.51
1  3  4  28.62
2  1  1  17.47
2  1  2  18.13
2  1  3  18.01
2  1  4  17.97
2  2  1  16.90
2  2  2  16.31
2  2  3  16.52
2  2  4  15.93
2  3  1  23.95
2  3  2  22.84
2  3  3  23.84
2  3  4  23.45
3  1  1  20.72
3  1  2  20.41
3  1  3  21.01
3  1  4  21.34
3  2  1  24.32
3  2  2  25.06
3  2  3  25.92
3  2  4  25.33
3  3  1  28.31
3  3  2  29.02
3  3  3  29.13
3  3  4  29.36
