                              parent     son

                               73.0     72.2
                               73.0     73.2
                               73.0     73.2
                               73.0     73.2
                               72.5     68.2
                               72.5     69.2
                               72.5     69.2
                               72.5     70.2
                               72.5     71.2
                               72.5     71.2
                               72.5     72.2
                               72.5     72.2
                               72.5     72.2
                               72.5     72.2
                               72.5     72.2
                               72.5     72.2
                               72.5     72.2
                               72.5     73.2
                               72.5     73.2
                               72.5     73.7
                               72.5     73.7
                               72.5     73.7
                               72.5     73.7
                               71.5     65.2
                               71.5     66.2
                               71.5     66.2
                               71.5     66.2
                               71.5     67.2
                               71.5     67.2
                               71.5     67.2
                               71.5     67.2
                               71.5     68.2
                               71.5     68.2
                               71.5     68.2
                               71.5     69.2
                               71.5     69.2
                               71.5     69.2
                               71.5     69.2
                               71.5     69.2
                               71.5     70.2
                               71.5     70.2
                               71.5     70.2
                               71.5     70.2
                               71.5     70.2
                               71.5     70.2
                               71.5     70.2
                               71.5     70.2
                               71.5     70.2
                               71.5     70.2
                               71.5     71.2
                               71.5     71.2
                               71.5     71.2
                               71.5     71.2
                               71.5     72.2
                               71.5     72.2
                               71.5     72.2
                               71.5     72.2
                               71.5     72.2
                               71.5     72.2
                               71.5     72.2
                               71.5     72.2
                               71.5     72.2
                               71.5     73.2
                               71.5     73.2
                               71.5     73.7
                               71.5     73.7
                               70.5     61.7
                               70.5     63.2
                               70.5     65.2
                               70.5     66.2
                               70.5     67.2
                               70.5     67.2
                               70.5     67.2
                               70.5     68.2
                               70.5     68.2
                               70.5     68.2
                               70.5     68.2
                               70.5     68.2
                               70.5     68.2
                               70.5     68.2
                               70.5     68.2
                               70.5     68.2
                               70.5     68.2
                               70.5     68.2
                               70.5     68.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     69.2
                               70.5     70.2
                               70.5     70.2
                               70.5     70.2
                               70.5     70.2
                               70.5     70.2
                               70.5     70.2
                               70.5     70.2
                               70.5     70.2
                               70.5     70.2
                               70.5     70.2
                               70.5     70.2
                               70.5     70.2
                               70.5     70.2
                               70.5     70.2
                               70.5     71.2
                               70.5     71.2
                               70.5     71.2
                               70.5     71.2
                               70.5     71.2
                               70.5     71.2
                               70.5     71.2
                               70.5     72.2
                               70.5     72.2
                               70.5     72.2
                               70.5     72.2
                               70.5     73.2
                               70.5     73.2
                               70.5     73.2
                               70.5     73.7
                               70.5     73.7
                               70.5     73.7
                               69.5     63.2
