                      trt    initial       z    final
                       1       27.2      0.2     32.6
                       1       32.0      5.0     36.6
                       1       33.0      6.0     37.7
                       1       26.8     -0.2     31.0
                       2       28.6      1.6     33.8
                       2       26.8     -0.2     31.7
                       2       26.5     -0.5     30.7
                       2       26.8     -0.2     30.4
                       3       28.6      1.6     35.2
                       3       22.4     -4.6     29.1
                       3       23.2     -3.8     28.9
                       3       24.4     -2.6     30.2
                       4       29.3      2.3     35.0
                       4       21.8     -5.2     27.0
                       4       30.3      3.3     36.4
                       4       24.3     -2.7     30.5
